,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
84,"$127,500 /yr (est.)",127500.0,Senior Software Development Engineer I,5,1,0,"Travelport
3.5",Colorado,3.5,0,52,1001 to 5000 Employees,1971,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.3,3.4,3.6,3.1,3.9,2023-05-22 02:29:49.164488,yr
86,"$87,500 /yr (est.)",87500.0,Software Developer,4,1,-1,"Globus family of brands
3.9",Remote,3.9,1,60,201 to 500 Employees,1963,Company - Private,Travel Agencies,Hotels & Travel Accommodation,$25 to $100 million (USD),3.5,3.6,3.8,3.5,3.8,2023-05-22 02:29:56.724776,yr
87,$27.50 /hr (est.),57200.0,Help Desk Specialist Level 1,3,1,0,"Mantek Solutions
5.0","Commerce, CA",5.0,0,50,1 to 50 Employees,1973,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.8,5.0,4.8,5.0,4.8,2023-05-22 02:30:09.440957,hr
88,$27.50 /hr (est.),57200.0,Service Desk IT Support Specialist,3,1,1,"Hanger, Inc.
3.5",Remote,3.5,1,162,5001 to 10000 Employees,1861,Company - Private,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.3,3.5,3.2,3.5,2023-05-22 02:30:13.027698,hr
89,"$73,500 /yr (est.)",73500.0,Computing Support Analyst 1,0,1,1,"Stanford University
4.3","Redwood City, CA",4.3,0,132,10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD),4.2,3.6,4.1,3.8,3.8,2023-05-22 02:30:16.706082,yr
90,$30.00 /hr (est.),62400.0,Help Desk Specialist level 2,3,1,0,"Mantek Solutions
5.0","Commerce, CA",5.0,0,50,1 to 50 Employees,1973,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.8,5.0,4.8,5.0,4.8,2023-05-22 02:30:19.342338,hr
92,"$57,500 /yr (est.)",57500.0,IT Support Specialist,1,1,0,"Atelier Ten
4.2","New York, NY",4.2,0,33,201 to 500 Employees,1990,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.7,3.4,3.8,3.5,3.7,2023-05-22 02:30:27.302903,yr
93,"$45,000 /yr (est.)",45000.0,IT Technician,3,1,-1,"Camden County College
3.6",New Jersey,3.6,0,56,501 to 1000 Employees,1967,College / University,Colleges & Universities,Education,$25 to $100 million (USD),2.9,2.8,3.4,2.9,3.6,2023-05-22 02:30:30.117912,yr
94,"$51,292 /yr (est.)",51292.0,IT Help Desk Technician,0,1,-1,"Brivo
4.4","Bethesda, MD",4.4,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4.3,4.2,4.5,4.3,4.5,2023-05-22 02:30:33.385247,yr
95,"$71,970 /yr (est.)",71970.0,IT Associate Systems Engineer,0,1,1,"EVERSOURCE
3.6","Berlin, CT",3.6,0,57,5001 to 10000 Employees,1966,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.7,4.1,3.3,3.2,3.1,2023-05-22 02:30:37.075476,yr
