,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
389,$90.00 /hr (est.),187200.0,"Product Designer, App Platforms (Full Time Temp)",3,2,1,The New York Times,"New York, NY",3.7,0,127,1001 to 5000 Employees,1896,Company - Public,Broadcast Media,Media & Communication,$1 to $5 billion (USD),3.6,3.5,4.0,3.5,3.9,2023-05-22 01:21:44.033275,hr
390,"$105,000 /yr (est.)",105000.0,Software Engineer,0,1,-1,Redvest App,Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 01:21:48.636877,yr
391,"$140,000 /yr (est.)",140000.0,Android Developer,0,1,-1,YouMail,Remote,3.5,1,-1,-1,-1,-1,-1,-1,-1,3.2,3.4,3.7,3.4,3.9,2023-05-22 01:21:54.739155,yr
392,"$8,915 /mo (est.)",106980.0,Sr-Principal Quality Assurance Engineer-Mobile App Automation - REMOTE,5,1,0,Publix Associate Services LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 01:21:59.221210,mo
393,"$240,000 /yr (est.)",240000.0,Product Principal- Mobile App (Remote),8,1,1,Home Depot / THD,"Atlanta, GA",3.8,0,45,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),3.7,3.6,3.8,3.4,3.5,2023-05-22 01:22:05.881208,yr
394,$95.00 /hr (est.),197600.0,Mobile App Designer,0,1,-1,Braintrust,"San Francisco, CA",4.6,0,5,1 to 50 Employees,2018,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),4.4,4.5,4.5,4.4,4.3,2023-05-22 01:22:10.093393,hr
395,"$54,311 /yr (est.)",54311.0,Mobile Developer (Flutter),6,2,1,Axians,"Lisbon, ME",3.6,0,24,10000+ Employees,1999,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.3,3.4,3.6,3.2,3.7,2023-05-22 01:22:14.735681,yr
399,$52.50 /hr (est.),109200.0,iOS Developer,5,2,-1,CALLISTOFUSION,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-22 01:22:39.839006,hr
400,"$137,254 /yr (est.)",137254.0,"Software Engineer, Android, IXL Mobile",4,1,1,IXL Learning,"San Mateo, CA",3.2,0,25,1001 to 5000 Employees,1998,Company - Private,Education & Training Services,Education,$100 to $500 million (USD),2.9,3.1,3.1,2.8,3.6,2023-05-22 01:22:47.051904,yr
401,"$197,100 /yr (est.)",197100.0,(Remote) iOS Principal Mobile Developer,8,1,1,Stryker,Michigan,4.1,0,82,10000+ Employees,1941,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),4.0,3.9,4.1,3.8,3.7,2023-05-22 01:22:51.383621,yr
404,"$113,462 /yr (est.)",113462.0,Mobile App Developer / Software Developer,0,1,-1,Artisan Crew Engineering (ACE),"Los Angeles, CA",4.0,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.4,3.8,3.6,4.1,2023-05-22 01:23:07.174340,yr
